obs_fcst,score_name,score_value
D02 - D00,fss_prob_t55,0.0
D02 - D00,fss_exp_t55,0.0
D02 - D00,fss_cutoff_t55,0.0
D02 - P17,crps_prob,9.060043852635777
D02 - P17,crps_exp,9.294405474781712
D02 - P17,crps_cutoff,9.930246226424444
D02 - P17,mse_prob,65.06923622665938
D02 - P17,mse_exp,61.982996158415844
D02 - P17,mse_cutoff,61.67980167326733
D02 - P17,es_exp,102.20965083835733
D02 - P17,es_cutoff,102.43985994934613
D02 - P17,fss_prob_t45,1.0
D02 - P17,fss_exp_t45,1.0
D02 - P17,fss_cutoff_t45,1.0
D02 - P17,fss_prob_t55,0.0
D02 - P17,fss_exp_t55,0.0
D02 - P17,fss_cutoff_t55,0.0
D02 - P04,crps_prob,5.277131671201414
D02 - P04,crps_exp,5.320921773258407
D02 - P04,crps_cutoff,5.493421143916193
D02 - P04,mse_prob,65.06931780829869
D02 - P04,mse_exp,64.61987638613861
D02 - P04,mse_cutoff,64.25539353465348
D02 - P04,es_exp,64.56428973842516
D02 - P04,es_cutoff,64.1056815941918
D02 - P04,fss_prob_t45,1.0
D02 - P04,fss_exp_t45,1.0
D02 - P04,fss_cutoff_t45,1.0
D02 - P04,fss_prob_t55,0.0
D02 - P04,fss_exp_t55,0.0
D02 - P04,fss_cutoff_t55,0.0
D02 - P04h,crps_prob,4.391458258019165
D02 - P04h,crps_exp,4.392488092052449
D02 - P04h,crps_cutoff,4.6213928185611355
D02 - P04h,mse_prob,65.0693089702872
D02 - P04h,mse_exp,64.05990501980197
D02 - P04h,mse_cutoff,63.14263609900991
D02 - P04h,es_exp,59.62477241361198
D02 - P04h,es_cutoff,62.89177488288601
D02 - P04h,fss_prob_t45,1.0
D02 - P04h,fss_exp_t45,1.0
D02 - P04h,fss_cutoff_t45,1.0
D02 - P04h,fss_prob_t55,0.0
D02 - P04h,fss_exp_t55,0.0
D02 - P04h,fss_cutoff_t55,0.0
D02 - P16_25h,crps_prob,12.907006931681968
D02 - P16_25h,crps_exp,12.817442729858572
D02 - P16_25h,crps_cutoff,12.509243877540905
D02 - P16_25h,mse_prob,362.3411672707668
D02 - P16_25h,mse_exp,358.8897647227722
D02 - P16_25h,mse_cutoff,363.61276763366345
D02 - P16_25h,es_exp,154.82539156873185
D02 - P16_25h,es_cutoff,141.82814532149746
D02 - P16_25h,fss_prob_t45,0.6891548784911135
D02 - P16_25h,fss_exp_t45,0.6891548784911135
D02 - P16_25h,fss_cutoff_t45,0.6891548784911135
D02 - P16_25h,fss_prob_t55,0.9086147484493453
D02 - P16_25h,fss_exp_t55,0.9086147484493453
D02 - P16_25h,fss_cutoff_t55,0.9086147484493453
D02 - P06,crps_prob,9.942135358969063
D02 - P06,crps_exp,10.091415395593614
D02 - P06,crps_cutoff,10.492709184431954
D02 - P06,mse_prob,65.06927157866167
D02 - P06,mse_exp,61.75471291089109
D02 - P06,mse_cutoff,62.00294651485148
D02 - P06,es_exp,108.42030592625323
D02 - P06,es_cutoff,94.84322032507603
D02 - P06,fss_prob_t45,1.0
D02 - P06,fss_exp_t45,1.0
D02 - P06,fss_cutoff_t45,1.0
D02 - P06,fss_prob_t55,0.0
D02 - P06,fss_exp_t55,0.0
D02 - P06,fss_cutoff_t55,0.0
D02 - P18,crps_prob,3.2625831806798127
D02 - P18,crps_exp,3.352833447308695
D02 - P18,crps_cutoff,3.5230855608083336
D02 - P18,mse_prob,27.447439331201565
D02 - P18,mse_exp,27.7223834950495
D02 - P18,mse_cutoff,26.751373623762383
D02 - P18,es_exp,44.83653186741583
D02 - P18,es_cutoff,45.020456718881135
D02 - P18,fss_prob_t45,0.9988901220865705
D02 - P18,fss_exp_t45,0.9988901220865705
D02 - P18,fss_cutoff_t45,0.9988901220865705
D02 - P18,fss_prob_t55,0.9781897491821155
D02 - P18,fss_exp_t55,0.9781897491821155
D02 - P18,fss_cutoff_t55,0.9781897491821155
D02 - P19,crps_prob,2.357104234473784
D02 - P19,crps_exp,2.4607654188842307
D02 - P19,crps_cutoff,2.7269315057631895
D02 - P19,mse_prob,0.1773822299493788
D02 - P19,mse_exp,0.2404499702970301
D02 - P19,mse_cutoff,0.33125606930693074
D02 - P19,es_exp,26.250323816808063
D02 - P19,es_cutoff,35.23114892045683
D02 - P19,fss_prob_t45,1.0
D02 - P19,fss_exp_t45,1.0
D02 - P19,fss_cutoff_t45,1.0
D02 - P19,fss_prob_t55,1.0
D02 - P19,fss_exp_t55,1.0
D02 - P19,fss_cutoff_t55,1.0
