obs_fcst,score_name,score_value
D02 - P10_08,mse_prob,20.92528753187352
D02 - P10_08,mse_exp,21.075810722772268
D02 - P10_08,mse_cutoff,19.946714881188118
D02 - P10_08,es_exp,40.87877535598522
D02 - P10_08,es_cutoff,41.89823145124636
D02 - P10_08,fss_prob_t45,1.0
D02 - P10_08,fss_exp_t45,1.0
D02 - P10_08,fss_cutoff_t45,1.0
D02 - P10_08,fss_prob_t55,0.8410774410774411
D02 - P10_08,fss_exp_t55,0.8410774410774411
D02 - P10_08,fss_cutoff_t55,0.8544520547945205
D02 - P10_09,crps_prob,3.305727515993639
D02 - P10_09,crps_exp,3.3522821633514703
D02 - P10_09,crps_cutoff,3.50029147959841
D02 - P10_09,mse_prob,25.886350586936903
D02 - P10_09,mse_exp,26.04172194059405
D02 - P10_09,mse_cutoff,24.74723703960396
D02 - P10_09,es_exp,43.89858263373753
D02 - P10_09,es_cutoff,43.79916285911524
D02 - P10_09,fss_prob_t45,1.0
D02 - P10_09,fss_exp_t45,1.0
D02 - P10_09,fss_cutoff_t45,1.0
D02 - P10_09,fss_prob_t55,0.8080808080808081
D02 - P10_09,fss_exp_t55,0.8080808080808081
D02 - P10_09,fss_cutoff_t55,0.8080808080808081
D02 - P10_10,crps_prob,3.491930304398929
D02 - P10_10,crps_exp,3.5351158088781864
D02 - P10_10,crps_cutoff,3.662068028424464
D02 - P10_10,mse_prob,31.182755275460313
D02 - P10_10,mse_exp,31.38173580198019
D02 - P10_10,mse_cutoff,29.89765745544555
D02 - P10_10,es_exp,46.98021494616327
D02 - P10_10,es_cutoff,45.81256601881705
D02 - P10_10,fss_prob_t45,1.0
D02 - P10_10,fss_exp_t45,1.0
D02 - P10_10,fss_cutoff_t45,1.0
D02 - P10_10,fss_prob_t55,0.7744107744107744
D02 - P10_10,fss_exp_t55,0.7744107744107744
D02 - P10_10,fss_cutoff_t55,0.7876712328767124
D02 - P10_11,crps_prob,3.6835540519779357
D02 - P10_11,crps_exp,3.7239073925410557
D02 - P10_11,crps_cutoff,3.8300994856242383
D02 - P10_11,mse_prob,36.74583687367898
D02 - P10_11,mse_exp,36.92805161386138
D02 - P10_11,mse_cutoff,35.326250099009904
D02 - P10_11,es_exp,50.0339517533889
D02 - P10_11,es_cutoff,47.89721750687663
D02 - P10_11,fss_prob_t45,1.0
D02 - P10_11,fss_exp_t45,1.0
D02 - P10_11,fss_cutoff_t45,1.0
D02 - P10_11,fss_prob_t55,0.7407407407407408
D02 - P10_11,fss_exp_t55,0.7407407407407408
D02 - P10_11,fss_cutoff_t55,0.7407407407407408
D02 - P10_12,crps_prob,3.878044901827121
D02 - P10_12,crps_exp,3.91761763743942
D02 - P10_12,crps_cutoff,4.001306554078832
D02 - P10_12,mse_prob,42.50621582394409
D02 - P10_12,mse_exp,42.72074619801981
D02 - P10_12,mse_cutoff,40.95224912871287
D02 - P10_12,es_exp,53.08554822035476
D02 - P10_12,es_cutoff,50.02634684403098
D02 - P10_12,fss_prob_t45,1.0
D02 - P10_12,fss_exp_t45,1.0
D02 - P10_12,fss_cutoff_t45,1.0
D02 - P10_12,fss_prob_t55,0.7070707070707072
D02 - P10_12,fss_exp_t55,0.7070707070707072
D02 - P10_12,fss_cutoff_t55,0.728476821192053
D02 - P10_13,crps_prob,4.073099631941638
D02 - P10_13,crps_exp,4.11100266603237
D02 - P10_13,crps_cutoff,4.1752077423958625
D02 - P10_13,mse_prob,48.39518985820134
D02 - P10_13,mse_exp,48.622434217821784
D02 - P10_13,mse_cutoff,46.73359379207921
D02 - P10_13,es_exp,56.07465032099917
D02 - P10_13,es_cutoff,52.181236009663394
D02 - P10_13,fss_prob_t45,1.0
D02 - P10_13,fss_exp_t45,1.0
D02 - P10_13,fss_cutoff_t45,1.0
D02 - P10_13,fss_prob_t55,0.6734006734006734
D02 - P10_13,fss_exp_t55,0.6734006734006734
D02 - P10_13,fss_cutoff_t55,0.695364238410596
D02 - P10_14,crps_prob,4.266682060878483
D02 - P10_14,crps_exp,4.302782683673773
D02 - P10_14,crps_cutoff,4.346337327426437
D02 - P10_14,mse_prob,54.346035630458914
D02 - P10_14,mse_exp,54.596743772277236
D02 - P10_14,mse_cutoff,52.56196707920793
D02 - P10_14,es_exp,58.991857017393265
D02 - P10_14,es_cutoff,54.31769926925831
D02 - P10_14,fss_prob_t45,1.0
D02 - P10_14,fss_exp_t45,1.0
D02 - P10_14,fss_cutoff_t45,1.0
D02 - P10_14,fss_prob_t55,0.6397306397306398
D02 - P10_14,fss_exp_t55,0.6397306397306398
D02 - P10_14,fss_cutoff_t55,0.6397306397306398
D02 - P10_15,crps_prob,4.457025943252052
D02 - P10_15,crps_exp,4.492533503800831
D02 - P10_15,crps_cutoff,4.516631403680909
D02 - P10_15,mse_prob,60.29519228082848
D02 - P10_15,mse_exp,60.573239792079214
D02 - P10_15,mse_cutoff,58.41060767326733
D02 - P10_15,es_exp,61.80916261051676
D02 - P10_15,es_cutoff,56.43408912504404
D02 - P10_15,fss_prob_t45,1.0
D02 - P10_15,fss_exp_t45,1.0
D02 - P10_15,fss_cutoff_t45,1.0
D02 - P10_15,fss_prob_t55,0.6060606060606062
D02 - P10_15,fss_exp_t55,0.6060606060606062
D02 - P10_15,fss_cutoff_t55,0.6060606060606062
D02 - P10_16,crps_prob,4.6426278378529435
D02 - P10_16,crps_exp,4.677646755666559
D02 - P10_16,crps_cutoff,4.683757619005144
D02 - P10_16,mse_prob,66.18329970266063
D02 - P10_16,mse_exp,66.46753490099012
D02 - P10_16,mse_cutoff,64.2020293069307
D02 - P10_16,es_exp,64.50924943574655
D02 - P10_16,es_cutoff,58.497810139632705
D02 - P10_16,fss_prob_t45,1.0
D02 - P10_16,fss_exp_t45,1.0
D02 - P10_16,fss_cutoff_t45,1.0
D02 - P10_16,fss_prob_t55,0.5723905723905724
D02 - P10_16,fss_exp_t55,0.5723905723905724
D02 - P10_16,fss_cutoff_t55,0.5960264900662252
D02 - P10_17,crps_prob,4.822233316044233
D02 - P10_17,crps_exp,4.856185175274285
D02 - P10_17,crps_cutoff,4.847303521343125
D02 - P10_17,mse_prob,71.9560684714611
D02 - P10_17,mse_exp,72.27986774257427
D02 - P10_17,mse_cutoff,69.87837692079209
D02 - P10_17,es_exp,67.09177949000009
D02 - P10_17,es_cutoff,60.492599095062545
D02 - P10_17,fss_prob_t45,1.0
D02 - P10_17,fss_exp_t45,1.0
D02 - P10_17,fss_cutoff_t45,1.0
D02 - P10_17,fss_prob_t55,0.5387205387205387
D02 - P10_17,fss_exp_t55,0.5387205387205387
D02 - P10_17,fss_cutoff_t55,0.5629139072847683
D02 - P10_18,crps_prob,4.994819457128543
D02 - P10_18,crps_exp,5.026348229417536
D02 - P10_18,crps_cutoff,5.003605902932636
D02 - P10_18,mse_prob,77.56496867340255
D02 - P10_18,mse_exp,77.89920937623762
D02 - P10_18,mse_cutoff,75.4309069207921
D02 - P10_18,es_exp,69.52452121590386
D02 - P10_18,es_cutoff,62.41963246549996
D02 - P10_18,fss_prob_t45,1.0
D02 - P10_18,fss_exp_t45,1.0
D02 - P10_18,fss_cutoff_t45,1.0
D02 - P10_18,fss_prob_t55,0.5050505050505051
D02 - P10_18,fss_exp_t55,0.5050505050505051
D02 - P10_18,fss_cutoff_t55,0.5050505050505051
D02 - P10_19,crps_prob,5.159575678089341
D02 - P10_19,crps_exp,5.189943547507903
D02 - P10_19,crps_cutoff,5.154109257772625
D02 - P10_19,mse_prob,82.96773976072485
D02 - P10_19,mse_exp,83.32084953465345
D02 - P10_19,mse_cutoff,80.79851951485148
D02 - P10_19,es_exp,71.8207801007807
